model_type,hidden_dim,num_layers,architecture,dropout,learning_rate,train_loss,val_loss,test_rmse
lstm,64,1,"[512, 128]",0.1,0.001,0.5395,5.204,1.6496
lstm,64,1,"[512, 128]",0.1,0.0001,0.6999,4.713,1.6799
lstm,64,1,"[512, 128]",0.2,0.001,0.527,5.2746,1.6929
lstm,64,1,"[512, 128]",0.2,0.0001,0.7858,4.3187,1.6871
lstm,64,1,"[1024, 512, 128]",0.1,0.001,0.477,4.9485,1.6201
lstm,64,1,"[1024, 512, 128]",0.1,0.0001,0.5642,5.2497,1.7123
lstm,64,1,"[1024, 512, 128]",0.2,0.001,0.6595,5.3171,1.5982
lstm,64,1,"[1024, 512, 128]",0.2,0.0001,0.5706,5.4274,1.7017
lstm,64,1,"[256, 64]",0.1,0.001,0.6125,5.1139,1.5988
lstm,64,1,"[256, 64]",0.1,0.0001,0.7537,4.9541,1.6568
lstm,64,1,"[256, 64]",0.2,0.001,0.7337,5.4948,1.7375
lstm,64,1,"[256, 64]",0.2,0.0001,0.9017,5.027,1.6468
lstm,64,2,"[512, 128]",0.1,0.001,0.4716,5.7848,1.6354
lstm,64,2,"[512, 128]",0.1,0.0001,0.6217,4.6915,1.7937
lstm,64,2,"[512, 128]",0.2,0.001,0.6025,5.1326,1.6209
lstm,64,2,"[512, 128]",0.2,0.0001,0.7156,4.5452,1.76
lstm,64,2,"[1024, 512, 128]",0.1,0.001,0.4903,5.1497,1.5971
lstm,64,2,"[1024, 512, 128]",0.1,0.0001,0.5416,4.6937,1.7133
lstm,64,2,"[1024, 512, 128]",0.2,0.001,0.573,4.7923,1.7075
lstm,64,2,"[1024, 512, 128]",0.2,0.0001,0.6433,4.5539,1.6518
lstm,64,2,"[256, 64]",0.1,0.001,0.5178,5.3797,1.6807
lstm,64,2,"[256, 64]",0.1,0.0001,0.6612,4.5319,1.6611
lstm,64,2,"[256, 64]",0.2,0.001,0.715,5.3062,1.769
lstm,64,2,"[256, 64]",0.2,0.0001,0.9492,4.4847,1.688
lstm,128,1,"[512, 128]",0.1,0.001,0.4622,5.1499,1.5953
lstm,128,1,"[512, 128]",0.1,0.0001,0.5569,4.9657,1.6855
lstm,128,1,"[512, 128]",0.2,0.001,0.5155,5.4418,1.7611
lstm,128,1,"[512, 128]",0.2,0.0001,0.7588,5.2114,1.7502
lstm,128,1,"[1024, 512, 128]",0.1,0.001,0.4916,5.2764,1.7189
lstm,128,1,"[1024, 512, 128]",0.1,0.0001,0.5248,5.0689,1.6402
lstm,128,1,"[1024, 512, 128]",0.2,0.001,0.7232,5.162,1.5466
lstm,128,1,"[1024, 512, 128]",0.2,0.0001,0.5406,4.8501,1.6398
lstm,128,1,"[256, 64]",0.1,0.001,0.5563,4.7637,1.6586
lstm,128,1,"[256, 64]",0.1,0.0001,0.6595,4.9025,1.6619
lstm,128,1,"[256, 64]",0.2,0.001,0.6612,5.1655,1.6179
lstm,128,1,"[256, 64]",0.2,0.0001,0.7691,4.9508,1.6132
lstm,128,2,"[512, 128]",0.1,0.001,0.4815,5.4212,1.687
lstm,128,2,"[512, 128]",0.1,0.0001,0.5611,4.8709,1.6188
lstm,128,2,"[512, 128]",0.2,0.001,0.6458,4.9479,1.6572
lstm,128,2,"[512, 128]",0.2,0.0001,0.6281,4.645,1.6552
lstm,128,2,"[1024, 512, 128]",0.1,0.001,0.5595,6.0593,1.7656
lstm,128,2,"[1024, 512, 128]",0.1,0.0001,0.5442,4.8602,1.6441
lstm,128,2,"[1024, 512, 128]",0.2,0.001,0.6825,5.279,1.6096
lstm,128,2,"[1024, 512, 128]",0.2,0.0001,0.6715,4.8861,1.6051
lstm,128,2,"[256, 64]",0.1,0.001,0.5166,5.3506,1.7761
lstm,128,2,"[256, 64]",0.1,0.0001,0.5874,5.0925,1.796
lstm,128,2,"[256, 64]",0.2,0.001,0.6363,5.7816,1.6299
lstm,128,2,"[256, 64]",0.2,0.0001,0.8266,4.6966,1.7083
lstm,256,1,"[512, 128]",0.1,0.001,0.5948,5.7168,1.8613
lstm,256,1,"[512, 128]",0.1,0.0001,0.5263,4.9316,1.7048
lstm,256,1,"[512, 128]",0.2,0.001,0.715,5.0588,1.5956
lstm,256,1,"[512, 128]",0.2,0.0001,0.5976,4.8851,1.7201
lstm,256,1,"[1024, 512, 128]",0.1,0.001,0.5609,5.6418,1.6794
lstm,256,1,"[1024, 512, 128]",0.1,0.0001,0.5435,4.8895,1.6302
lstm,256,1,"[1024, 512, 128]",0.2,0.001,0.7007,5.8916,1.8451
lstm,256,1,"[1024, 512, 128]",0.2,0.0001,0.574,5.2719,1.6597
lstm,256,1,"[256, 64]",0.1,0.001,0.6053,5.3313,1.7312
lstm,256,1,"[256, 64]",0.1,0.0001,0.606,4.9704,1.6996
lstm,256,1,"[256, 64]",0.2,0.001,0.8301,5.6708,1.6745
lstm,256,1,"[256, 64]",0.2,0.0001,0.6678,4.7522,1.72
lstm,256,2,"[512, 128]",0.1,0.001,0.5045,5.9009,1.9024
lstm,256,2,"[512, 128]",0.1,0.0001,0.5694,5.1281,1.7459
lstm,256,2,"[512, 128]",0.2,0.001,0.578,5.7573,1.8499
lstm,256,2,"[512, 128]",0.2,0.0001,0.5796,4.8868,1.7336
lstm,256,2,"[1024, 512, 128]",0.1,0.001,0.5612,5.6449,1.6056
lstm,256,2,"[1024, 512, 128]",0.1,0.0001,0.5601,4.5925,1.664
lstm,256,2,"[1024, 512, 128]",0.2,0.001,0.7131,5.1918,1.8409
lstm,256,2,"[1024, 512, 128]",0.2,0.0001,0.6226,4.597,1.6063
lstm,256,2,"[256, 64]",0.1,0.001,0.4963,5.4723,1.6146
lstm,256,2,"[256, 64]",0.1,0.0001,0.6073,4.7893,1.7238
lstm,256,2,"[256, 64]",0.2,0.001,0.74,5.3343,1.7494
lstm,256,2,"[256, 64]",0.2,0.0001,0.6452,4.6347,1.7012
bilstm,64,1,"[512, 128]",0.1,0.001,0.5024,5.3137,1.6445
bilstm,64,1,"[512, 128]",0.1,0.0001,0.7239,4.7068,1.6696
bilstm,64,1,"[512, 128]",0.2,0.001,0.531,5.2911,1.6961
bilstm,64,1,"[512, 128]",0.2,0.0001,0.6524,5.0773,1.7011
bilstm,64,1,"[1024, 512, 128]",0.1,0.001,0.5315,5.3617,1.8783
bilstm,64,1,"[1024, 512, 128]",0.1,0.0001,0.5688,5.0731,1.6522
bilstm,64,1,"[1024, 512, 128]",0.2,0.001,0.672,5.0676,1.5068
bilstm,64,1,"[1024, 512, 128]",0.2,0.0001,0.6391,4.8898,1.6949
bilstm,64,1,"[256, 64]",0.1,0.001,0.4985,5.0124,1.7255
bilstm,64,1,"[256, 64]",0.1,0.0001,0.7518,4.6576,1.576
bilstm,64,1,"[256, 64]",0.2,0.001,0.7253,5.0579,1.6009
bilstm,64,1,"[256, 64]",0.2,0.0001,0.8852,4.5571,1.694
bilstm,64,2,"[512, 128]",0.1,0.001,0.6576,5.5954,1.7988
bilstm,64,2,"[512, 128]",0.1,0.0001,0.6409,4.8763,1.6915
bilstm,64,2,"[512, 128]",0.2,0.001,0.5532,4.9754,1.6073
bilstm,64,2,"[512, 128]",0.2,0.0001,0.7161,4.4835,1.6491
bilstm,64,2,"[1024, 512, 128]",0.1,0.001,0.8057,4.9804,1.7149
bilstm,64,2,"[1024, 512, 128]",0.1,0.0001,0.55,5.2682,1.6348
bilstm,64,2,"[1024, 512, 128]",0.2,0.001,0.6669,5.5622,1.8808
bilstm,64,2,"[1024, 512, 128]",0.2,0.0001,0.4966,4.9284,1.8135
bilstm,64,2,"[256, 64]",0.1,0.001,0.5383,5.2839,1.6144
bilstm,64,2,"[256, 64]",0.1,0.0001,0.6561,5.0846,1.7742
bilstm,64,2,"[256, 64]",0.2,0.001,0.724,5.2316,1.6708
bilstm,64,2,"[256, 64]",0.2,0.0001,0.8229,4.6968,1.7159
bilstm,128,1,"[512, 128]",0.1,0.001,0.471,5.3522,1.7389
bilstm,128,1,"[512, 128]",0.1,0.0001,0.5412,5.0667,1.6889
bilstm,128,1,"[512, 128]",0.2,0.001,0.592,4.9372,1.6535
bilstm,128,1,"[512, 128]",0.2,0.0001,0.5955,4.7097,1.627
bilstm,128,1,"[1024, 512, 128]",0.1,0.001,0.6315,5.7329,1.8643
bilstm,128,1,"[1024, 512, 128]",0.1,0.0001,0.4805,5.1131,1.6808
bilstm,128,1,"[1024, 512, 128]",0.2,0.001,0.6371,5.1756,1.7041
bilstm,128,1,"[1024, 512, 128]",0.2,0.0001,0.5524,5.0394,1.6751
bilstm,128,1,"[256, 64]",0.1,0.001,0.5814,5.5093,1.8539
bilstm,128,1,"[256, 64]",0.1,0.0001,0.7206,4.7121,1.6433
bilstm,128,1,"[256, 64]",0.2,0.001,0.6163,5.3802,1.5838
bilstm,128,1,"[256, 64]",0.2,0.0001,0.8811,4.7786,1.6118
bilstm,128,2,"[512, 128]",0.1,0.001,0.4878,5.6785,1.7908
bilstm,128,2,"[512, 128]",0.1,0.0001,0.5466,4.8744,1.6524
bilstm,128,2,"[512, 128]",0.2,0.001,0.5854,5.1248,1.6544
bilstm,128,2,"[512, 128]",0.2,0.0001,0.6097,4.7574,1.6182
bilstm,128,2,"[1024, 512, 128]",0.1,0.001,0.7249,6.1414,1.5797
bilstm,128,2,"[1024, 512, 128]",0.1,0.0001,0.5255,4.8527,1.6958
bilstm,128,2,"[1024, 512, 128]",0.2,0.001,0.7331,5.3992,1.5081
bilstm,128,2,"[1024, 512, 128]",0.2,0.0001,0.6916,5.0923,1.5806
bilstm,128,2,"[256, 64]",0.1,0.001,0.4819,5.3825,1.6553
bilstm,128,2,"[256, 64]",0.1,0.0001,0.5439,4.6356,1.615
bilstm,128,2,"[256, 64]",0.2,0.001,0.6276,5.1892,1.6542
bilstm,128,2,"[256, 64]",0.2,0.0001,0.7288,4.7519,1.7563
bilstm,256,1,"[512, 128]",0.1,0.001,0.5333,5.1495,1.5872
bilstm,256,1,"[512, 128]",0.1,0.0001,0.5129,4.9644,1.6611
bilstm,256,1,"[512, 128]",0.2,0.001,0.6717,5.2011,1.6423
bilstm,256,1,"[512, 128]",0.2,0.0001,0.6036,4.8887,1.6571
bilstm,256,1,"[1024, 512, 128]",0.1,0.001,0.7314,5.7705,1.8184
bilstm,256,1,"[1024, 512, 128]",0.1,0.0001,0.5356,4.8944,1.6291
bilstm,256,1,"[1024, 512, 128]",0.2,0.001,0.7363,5.4174,1.5488
bilstm,256,1,"[1024, 512, 128]",0.2,0.0001,0.61,4.9244,1.6621
bilstm,256,1,"[256, 64]",0.1,0.001,0.6466,5.3218,1.6623
bilstm,256,1,"[256, 64]",0.1,0.0001,0.5791,4.9536,1.6876
bilstm,256,1,"[256, 64]",0.2,0.001,0.8136,5.3872,1.6991
bilstm,256,1,"[256, 64]",0.2,0.0001,0.7321,5.0458,1.7632
bilstm,256,2,"[512, 128]",0.1,0.001,0.6268,5.1491,1.6329
bilstm,256,2,"[512, 128]",0.1,0.0001,0.5916,4.9649,1.6896
bilstm,256,2,"[512, 128]",0.2,0.001,0.5944,5.096,1.5683
bilstm,256,2,"[512, 128]",0.2,0.0001,0.6169,4.9771,1.7122
bilstm,256,2,"[1024, 512, 128]",0.1,0.001,0.6093,5.6255,1.6271
bilstm,256,2,"[1024, 512, 128]",0.1,0.0001,0.5049,4.8988,1.6182
bilstm,256,2,"[1024, 512, 128]",0.2,0.001,0.8477,4.9095,1.5434
bilstm,256,2,"[1024, 512, 128]",0.2,0.0001,0.5434,4.8187,1.7077
bilstm,256,2,"[256, 64]",0.1,0.001,0.9248,5.4036,1.5173
bilstm,256,2,"[256, 64]",0.1,0.0001,0.5771,5.013,1.7139
bilstm,256,2,"[256, 64]",0.2,0.001,0.6902,4.9268,1.5648
bilstm,256,2,"[256, 64]",0.2,0.0001,0.7397,4.8685,1.6221
gru,64,1,"[512, 128]",0.1,0.001,0.4697,4.8865,1.6667
gru,64,1,"[512, 128]",0.1,0.0001,0.5766,4.9021,1.7339
gru,64,1,"[512, 128]",0.2,0.001,0.892,5.244,1.5946
gru,64,1,"[512, 128]",0.2,0.0001,0.7786,4.5044,1.6065
gru,64,1,"[1024, 512, 128]",0.1,0.001,0.6195,5.6619,1.8419
gru,64,1,"[1024, 512, 128]",0.1,0.0001,0.5689,5.0106,1.8617
gru,64,1,"[1024, 512, 128]",0.2,0.001,0.7676,5.0086,1.7587
gru,64,1,"[1024, 512, 128]",0.2,0.0001,0.5916,4.6983,1.6164
gru,64,1,"[256, 64]",0.1,0.001,0.4788,5.7875,1.6789
gru,64,1,"[256, 64]",0.1,0.0001,0.8452,4.57,1.533
gru,64,1,"[256, 64]",0.2,0.001,0.638,5.051,1.6084
gru,64,1,"[256, 64]",0.2,0.0001,1.3036,4.4375,1.5739
gru,64,2,"[512, 128]",0.1,0.001,0.5553,5.0463,1.574
gru,64,2,"[512, 128]",0.1,0.0001,0.5772,4.2745,1.6102
gru,64,2,"[512, 128]",0.2,0.001,0.5843,5.1968,1.6768
gru,64,2,"[512, 128]",0.2,0.0001,0.6524,4.9283,1.699
gru,64,2,"[1024, 512, 128]",0.1,0.001,0.5243,5.3592,1.7353
gru,64,2,"[1024, 512, 128]",0.1,0.0001,0.5295,4.8266,1.5629
gru,64,2,"[1024, 512, 128]",0.2,0.001,0.5704,4.8985,1.6924
gru,64,2,"[1024, 512, 128]",0.2,0.0001,0.6483,4.8831,1.6787
gru,64,2,"[256, 64]",0.1,0.001,0.4371,5.0651,1.7467
gru,64,2,"[256, 64]",0.1,0.0001,0.6838,4.6474,1.6865
gru,64,2,"[256, 64]",0.2,0.001,0.7627,5.2334,1.696
gru,64,2,"[256, 64]",0.2,0.0001,0.9149,4.522,1.5542
gru,128,1,"[512, 128]",0.1,0.001,0.5455,4.8067,1.6084
gru,128,1,"[512, 128]",0.1,0.0001,0.5204,4.7324,1.6771
gru,128,1,"[512, 128]",0.2,0.001,0.6075,5.4185,1.6692
gru,128,1,"[512, 128]",0.2,0.0001,0.6251,4.7121,1.6105
gru,128,1,"[1024, 512, 128]",0.1,0.001,0.8645,5.5424,1.7074
gru,128,1,"[1024, 512, 128]",0.1,0.0001,0.5182,5.0206,1.5997
gru,128,1,"[1024, 512, 128]",0.2,0.001,0.9141,5.228,1.7883
gru,128,1,"[1024, 512, 128]",0.2,0.0001,0.6516,4.5853,1.5251
gru,128,1,"[256, 64]",0.1,0.001,0.7112,5.3625,1.647
gru,128,1,"[256, 64]",0.1,0.0001,0.6847,4.5238,1.5658
gru,128,1,"[256, 64]",0.2,0.001,0.6812,5.3232,1.7153
gru,128,1,"[256, 64]",0.2,0.0001,0.8527,5.0026,1.738
gru,128,2,"[512, 128]",0.1,0.001,0.5821,5.7027,1.6889
gru,128,2,"[512, 128]",0.1,0.0001,0.502,4.6893,1.6212
gru,128,2,"[512, 128]",0.2,0.001,0.6614,5.7678,1.8503
gru,128,2,"[512, 128]",0.2,0.0001,0.617,4.7888,1.6079
gru,128,2,"[1024, 512, 128]",0.1,0.001,0.4551,5.2197,1.6858
gru,128,2,"[1024, 512, 128]",0.1,0.0001,0.4677,5.1263,1.7519
gru,128,2,"[1024, 512, 128]",0.2,0.001,0.7017,5.8341,1.6017
gru,128,2,"[1024, 512, 128]",0.2,0.0001,0.5625,4.848,1.8151
gru,128,2,"[256, 64]",0.1,0.001,0.5354,5.2547,1.6953
gru,128,2,"[256, 64]",0.1,0.0001,0.6188,4.9018,1.7484
gru,128,2,"[256, 64]",0.2,0.001,0.7418,5.6467,1.721
gru,128,2,"[256, 64]",0.2,0.0001,0.7172,4.9645,1.6336
gru,256,1,"[512, 128]",0.1,0.001,0.506,5.7776,1.7895
gru,256,1,"[512, 128]",0.1,0.0001,0.5393,4.8086,1.5879
gru,256,1,"[512, 128]",0.2,0.001,0.6167,5.2212,1.6213
gru,256,1,"[512, 128]",0.2,0.0001,0.6558,5.1594,1.6789
gru,256,1,"[1024, 512, 128]",0.1,0.001,0.5158,5.0504,1.729
gru,256,1,"[1024, 512, 128]",0.1,0.0001,0.5235,4.9321,1.5684
gru,256,1,"[1024, 512, 128]",0.2,0.001,0.7265,5.7703,1.6297
gru,256,1,"[1024, 512, 128]",0.2,0.0001,0.5529,5.1887,1.6155
gru,256,1,"[256, 64]",0.1,0.001,0.5905,5.1275,1.772
gru,256,1,"[256, 64]",0.1,0.0001,0.5889,4.8317,1.6295
gru,256,1,"[256, 64]",0.2,0.001,0.8156,5.3008,1.6194
gru,256,1,"[256, 64]",0.2,0.0001,0.6738,5.1688,1.6525
gru,256,2,"[512, 128]",0.1,0.001,0.6598,6.1145,1.8353
gru,256,2,"[512, 128]",0.1,0.0001,0.5703,5.2834,1.6094
gru,256,2,"[512, 128]",0.2,0.001,0.525,6.022,1.7108
gru,256,2,"[512, 128]",0.2,0.0001,0.5777,4.7338,1.6186
gru,256,2,"[1024, 512, 128]",0.1,0.001,0.4978,5.6599,1.7356
gru,256,2,"[1024, 512, 128]",0.1,0.0001,0.5327,5.154,1.6137
gru,256,2,"[1024, 512, 128]",0.2,0.001,0.7022,4.7567,1.6378
gru,256,2,"[1024, 512, 128]",0.2,0.0001,0.5665,4.9812,1.6196
gru,256,2,"[256, 64]",0.1,0.001,0.5531,5.7876,1.7164
gru,256,2,"[256, 64]",0.1,0.0001,0.5821,4.9309,1.6552
gru,256,2,"[256, 64]",0.2,0.001,0.7662,5.9228,1.8835
gru,256,2,"[256, 64]",0.2,0.0001,0.6882,5.142,1.7208
